,Zygote,2-cell,4-cell,8-cell,Morula,Blastocyst
Rplp2,0.59010501,0.476088983,0.560408821,0.653110517,1.257606417,2.462680253
Phf3,0.859815807,0.586989874,0.677555711,0.774322798,1.137010027,1.964305784
Prpf19,0.769201508,0.642451902,0.705926237,0.677986333,0.921623536,2.282810486
Cog4,0.907155785,0.893035469,0.929038916,0.98835242,0.960593027,1.321824384
Uqcrc2,0.867202031,0.907573047,0.895553687,0.996536979,0.973814001,1.359320256
St14,0.157828552,0.176223677,0.197106379,0.243735099,0.706880292,4.518226004
1300001I01Rik,0.794442203,0.794289381,0.713727699,0.754458495,0.956534187,1.986548034
0610031J06Rik,0.789849333,0.784146075,0.619326963,0.705326793,0.992491491,2.108859347
Phf5a,0.892551053,0.797504205,0.737058568,0.778002674,1.100013901,1.6948696
Ap1s1,0.768394315,0.839870104,0.83664578,0.859397597,0.924846862,1.770845344
Ythdf2,0.841324198,0.564151882,0.652826136,0.772199019,1.139797489,2.029701279
Luc7l3,0.733419323,0.672635577,0.773077144,0.824320767,1.12411173,1.87243546
Exoc6,0.352473784,0.343243129,0.558205812,0.701361475,1.19739834,2.847317462
Ddx56,0.384277269,0.355541809,0.565754813,0.665410191,1.221933477,2.807082442
Gm9843,0.748951608,0.692413486,0.850762205,0.924590288,1.029430613,1.753851799
Th1l,0.605691498,0.607966098,0.678678079,0.824922411,1.134692465,2.14804945
Zc3h4,0.426300754,0.478185149,0.728304104,0.858213417,1.024926563,2.484070015
Rps9,0.587061558,0.427321604,0.495986801,0.720047336,1.230526015,2.539056687
Psma5,0.905430031,0.885926517,0.860539914,0.86804275,0.9831447,1.49691609
Trmt112;Gm13072;LOC100503161,0.746602743,0.720714549,0.739564188,0.796524761,1.146094579,1.850499182
Rps21,0.67653629,0.658607067,0.697061544,0.808818761,1.147598234,2.011378104
Eif2c2,0.752182044,0.812110165,0.638860414,0.681447594,1.138118273,1.977281511
Mtpap,0.886640791,0.806057303,0.849623083,0.987526524,0.973749047,1.496403255
Eif3b,0.677359885,0.705257172,0.764062979,0.827234143,1.116833606,1.909252216
Gpx4,0.979362726,0.941574034,0.939687923,0.980809981,1.001412249,1.157153088
Med31,0.915035046,0.755626474,0.862453122,0.90478186,1.039152161,1.522951338
Rbpms,0.676179409,0.374128112,0.46175012,0.73078302,1.207868925,2.549290416
Ado,0.958526736,0.946970257,0.918524411,0.946123731,0.994431923,1.235422943
Gpr107,0.886666311,0.778327396,0.710707926,0.928181211,1.0104653,1.685651858
Top1,0.601249171,0.747500113,0.760815991,0.769894976,1.122387129,1.998152621
Ap2s1,0.72838884,0.599735816,0.59492081,0.716337178,0.891634713,2.468982645
Lrpap1,0.716843939,0.392734127,0.356886378,0.458115285,0.971443942,3.103976331
Ttc39b,0.480957303,0.545027615,0.653332382,0.714888689,1.177725645,2.428068367
Rars2,0.949788146,0.933741589,0.957043485,0.995267724,0.994805508,1.169353549
Mpdu1,0.4632124,0.497335565,0.513219727,0.482644677,0.84669498,3.196892652
Hadha,0.885146493,0.84120829,0.892231919,0.988253641,0.969412217,1.423747441
Dkc1,0.514949609,0.311727179,0.511509219,0.624723085,1.25857127,2.77851964
Tmem65,0.724672056,0.872326155,0.763813102,0.804343095,0.961747542,1.873098051
Kdm1a,0.885975966,0.69325619,0.73892019,0.777004111,1.098883309,1.805960236
Rad21,0.329478896,0.444702572,0.586077742,0.706684505,1.171524981,2.761531306
Lpcat3,0.619541495,0.640043735,0.657291492,0.677363721,0.874416571,2.531342987
Crip2,0.634282526,0.807704276,0.641290629,0.664826176,0.973780624,2.27811577
2010012O05Rik,0.922226823,0.826581113,0.842852283,0.957095622,0.977274578,1.473969583
Mrpl50,0.692136443,0.725231187,0.667906388,0.74093073,0.90711174,2.266683513
Psmb7,0.816244637,0.880133759,0.934490558,0.891123319,0.96375488,1.514252848
Ppif,0.79682428,0.861508924,0.882907494,0.918002232,1.041587377,1.499169696
Nup85,0.787454367,0.876868713,0.875906678,0.944721002,1.015786336,1.499262906
Pkn2,0.584122641,0.671073679,0.836288868,0.817478534,1.05399927,2.037037009
Ahctf1,0.910055999,0.802922554,0.907684872,0.942034333,0.971172247,1.466129996
Phf23,0.826592093,0.734055747,0.70423498,0.708918241,0.987080019,2.039118922
Rpl22;LOC100504863,0.609269003,0.486280548,0.515661675,0.694900014,1.229028662,2.4648601
Myg1,0.725231871,0.801053463,0.92652881,0.867611523,0.999609894,1.67996444
Bach1,0.403561026,0.565722716,0.702631661,0.776673444,1.088928734,2.46248242
Hist1h2bh,0.478938721,0.742468178,0.734585144,0.736933001,0.903594711,2.403480247
Eif2b4,0.811060625,0.789859295,0.906281155,0.874469584,1.054723474,1.563605867
Psmd7,0.75989486,0.790748481,0.823743282,0.873239029,1.083010679,1.669363672
Nup153,0.75408603,0.816860423,0.705737396,0.952437921,1.018730863,1.75214737
LOC100039215,0.895048883,0.911738367,0.944735831,0.964384387,0.965423055,1.318669479
1110007A13Rik,0.759191844,0.891859556,0.849070095,0.790782684,1.04964468,1.659451143
Lrpprc,0.601985866,0.604529507,0.612502504,0.624363412,0.87991623,2.676702482
Zfp598,0.938466662,0.793178732,0.839231052,0.885619825,1.026315618,1.517188112
LOC635999,0.834792004,0.886644517,0.917642382,0.964314382,0.996204828,1.400401888
Psmd6,0.76901216,0.781304386,0.806337262,0.865974114,1.093230592,1.684141488
Trim33,0.643528558,0.783229657,0.729955234,0.813922162,1.109836352,1.919528038
Rps15,0.532424465,0.375940534,0.570198913,0.71229203,1.196610039,2.61253402
Tomm22,0.509406242,0.56938356,0.459454488,0.695349208,1.225865774,2.540540729
Rps14,0.586938094,0.478698104,0.567903451,0.689403157,1.217942654,2.459114542
Ubap2,0.583754374,0.416195104,0.509580613,0.693028206,1.224109504,2.573332201
Msh6,0.711867659,0.762220142,0.667173332,0.827014174,0.911572888,2.120151808
Bsg,0.863065162,0.90906669,0.831733599,0.91141307,0.973884212,1.510837267
Orc3l,0.807468542,0.624521479,0.620049993,0.692534673,0.96658001,2.288845305
Eif4a1,0.889307828,0.893670144,0.822492656,0.839183681,1.021447286,1.533898406
Rpl5,0.547687726,0.463921812,0.50335321,0.693536273,1.228787768,2.562713212
Ccdc93,0.750774404,0.735313998,0.836155126,0.941024781,1.019167604,1.717564087
Acot9,0.863032081,0.922101918,0.929725316,0.960553026,0.973984189,1.350603471
Hip1,0.505966347,0.484664121,0.504527193,0.555408282,0.838768297,3.11066576
Dck,0.747739244,0.70979724,0.817521306,0.953050244,1.00437921,1.767512757
Serp1,0.641281205,0.551948352,0.772850122,0.8806614,1.038102573,2.11515635
Atg4b,0.902484109,0.714366121,0.730479239,0.814982854,1.022156874,1.815530804
Rps11,0.630414662,0.394199538,0.52960462,0.718745481,1.19647518,2.530560521
Iars2,0.842586918,0.874627706,0.888025021,0.980010312,0.967066433,1.447683612
Hs1bp3,0.66111849,0.72329202,0.749569003,0.694548447,0.920676696,2.250795347
Eif3k,0.762816935,0.777756118,0.788983284,0.829891483,1.111159604,1.729392578
Smarcad1,0.780698403,0.60589738,0.647893395,0.709068906,0.932446369,2.32399555
Glud1,0.761414516,0.828885709,0.852856655,0.958090066,0.949384142,1.649368914
Dus3l,0.590988562,0.707613872,0.675396416,0.868341035,1.085758648,2.071901469
Rbm33,0.502704998,0.370654096,0.715171156,0.335310499,1.140593488,2.935565763
Macf1,0.806124184,0.713367158,0.656998405,0.726757298,0.971559751,2.125193208
Nars,0.805897534,0.816384778,0.928294857,0.899967378,0.950562202,1.598893251
Gmppb,0.786614186,0.894633247,0.868792035,0.933680451,0.965403299,1.550876784
Fbl;LOC100044829,0.425584682,0.425075088,0.593384703,0.746568582,1.157986017,2.651400929
Nsun2,0.55270494,0.553935145,0.642951124,0.716398138,1.182825153,2.351185501
Fam50a,0.494833807,0.421143063,0.601775241,0.729888189,1.175466475,2.576893225
Llgl1,0.603833762,0.632751991,0.645559787,0.775232203,1.158741819,2.18388044
Eif4h,0.8902679,0.791860178,0.785051395,0.865676995,1.075558467,1.591585067
Nup50,0.481577654,0.756181309,0.682609823,0.698726981,0.927281207,2.453623026
Rpl22l1,0.385468599,0.379809655,0.31661609,0.40033767,0.833719299,3.684048688
Txn1,0.508241912,0.474782938,0.539371775,0.622120334,0.821835718,3.033647325
Rps19,0.517335395,0.375567525,0.500510835,0.686922525,1.221901411,2.697762311
Fam98b,0.938466668,0.898068674,0.961549753,0.937622585,0.986277821,1.2780145
Gga1,0.685224363,0.655060413,0.643072193,0.652528217,0.923588845,2.440525971
Ranbp2,0.560174663,0.59867196,0.713367951,0.839191621,1.088425413,2.200168394
Slc25a10,0.841172351,0.868999937,0.899578445,0.976197486,0.977748992,1.43630279
Arpc1b,0.871921001,0.850251775,0.927431898,0.947752715,0.958329404,1.444313208
Cyb5r1,0.726108686,0.681663358,0.649724811,0.736564958,0.916482491,2.289455698
Snx1,0.393092571,0.399636552,0.459454892,0.574782868,0.784798273,3.388234845
Rps3,0.544517528,0.408824157,0.486841238,0.690272525,1.222689117,2.646855437
Gcn1l1,0.730511885,0.774780945,0.706363284,0.732251719,0.951332922,2.104759247
Rps17,0.574559745,0.464232164,0.574722623,0.672704391,1.213886834,2.499894243
Eri1,0.519437259,0.406574311,0.599255631,0.635522159,1.216524282,2.622686359
